Date,SPX,NDAQ,AAPL,MSFT,NFLX,NVDA
24/08/2020,3418.090088,40.76394165,125.4927647,206.6633835,495.4400024,12.8434957
25/08/2020,3435.949951,41.18944814,121.5923624,205.0372799,488.1900024,12.59128541
26/08/2020,3449.969971,40.80148908,123.0379705,209.636477,492.5,12.75925922
27/08/2020,3485.139893,41.62435041,123.9765002,214.4569484,537.7800293,12.74156564
28/08/2020,3494.689941,41.49293885,122.874619,219.5467699,532,12.63539683
31/08/2020,3509.72998,41.46476453,124.4030931,218.4114233,521.1599731,13.14156264
01/09/2020,3507.439941,42.12493706,129.4541067,216.9777841,532.5999756,13.44190361
02/09/2020,3543.76001,42.33768704,134.1638234,219.3447232,553.7800293,14.66219553
03/09/2020,3564.73999,43.11674227,123.7497938,220.5955449,545,13.78966912
04/09/2020,3453.600098,41.95598107,117.0801225,206.9616294,520.1799927,12.74762169
08/09/2020,3371.879883,40.30089968,111.1124865,198.6870342,498.3999939,11.70133589
09/09/2020,3369.820068,40.11317364,114.3400789,199.7454159,519.210022,12.36495448
10/09/2020,3412.560059,40.53284358,117.3628787,205.3259434,503.3500061,12.95254066
11/09/2020,3352.699951,39.59694401,111.7170631,199.3605465,486.4899902,12.45021511
14/09/2020,3363.560059,39.64406358,111.8633184,196.5125593,480.6199951,13.04403151
15/09/2020,3407.72998,40.20307856,115.3834525,200.5343574,484,13.2424694
16/09/2020,3411.22998,40.23134812,112.3606576,202.6511197,499.9899902,12.92063138
17/09/2020,3346.860107,39.39594719,106.9878507,192.4811025,475.1600037,12.09796111
18/09/2020,3357.379883,39.25776203,107.6509305,195.1269867,472.5100098,12.55815721
21/09/2020,3285.570068,37.78480246,101.9368267,189.7292587,467.6900024,11.89129656
22/09/2020,3295.75,38.35011945,109.8741182,197.3014953,489.0100098,12.53946014
23/09/2020,3320.110107,38.8557669,108.8405516,200.0340477,491.0400085,12.53995921
24/09/2020,3226.139893,37.5524014,102.5511306,192.2886165,470.5299988,12.03813281
25/09/2020,3236.659912,38.04862338,105.7299638,195.8486296,474.3900146,12.41232311
28/09/2020,3333.899902,39.52785334,112.1461014,202.9013432,489.1099854,13.00339741
29/09/2020,3350.919922,39.35826389,111.6975601,201.4292095,489.5,12.9009382
30/09/2020,3341.209961,38.3407007,110.9564819,199.8704818,492.5700073,13.12031402
01/10/2020,3385.870117,38.92485428,114.7106227,205.4125679,506.0299988,13.71911691
02/10/2020,3338.939941,38.52285251,110.0788826,200.1303102,516.4299927,13.18762465
05/10/2020,3367.27002,39.00337687,111.0735119,199.3797679,506.7999878,13.19859465
06/10/2020,3408.73999,39.25461324,112.8189304,200.9192573,518.7199707,13.79091446
07/10/2020,3384.560059,38.74898238,111.765811,199.2258214,518,13.96018319
08/10/2020,3434.280029,38.86203991,113.3552266,202.5452818,533.4799805,14.03522001
09/10/2020,3459.669922,39.578103,112.40937,203.2380441,537.8300171,13.72809258
12/10/2020,3500.02002,39.51215563,117.0703813,210.5120341,548.8099976,13.94996062
13/10/2020,3534.01001,39.8450607,122.1506332,214.2933371,540.5599976,14.2560959
14/10/2020,3515.469971,39.98010299,117.9869624,214.5627399,562.6099854,14.25011388
15/10/2020,3453.719971,39.72884385,115.7637333,208.8859967,545.5200195,13.77171702
16/10/2020,3493.5,40.40722253,118.2599846,211.8205877,549.5,13.99707838
19/10/2020,3493.659912,40.73699323,116.9728539,212.0803476,537.0700073,13.86370662
20/10/2020,3439.379883,40.04606129,113.3064778,207.6351696,528.1400146,13.5451095
21/10/2020,3439.909912,40.97567556,113.7647613,205.0565445,501.0299988,13.58649437
22/10/2020,3438.5,41.82364792,114.5253406,205.8359283,494.6900024,13.4842848
23/10/2020,3464.899902,41.00393803,113.4917357,206.8942943,488.1099854,13.4119879
26/10/2020,3441.419922,40.12457006,111.171016,205.7589729,487.0299988,13.38905549
27/10/2020,3403.149902,40.11829426,112.6141501,203.5844587,490.0100098,13.26839441
28/10/2020,3342.47998,38.86518208,112.185113,199.8127741,486.3599854,13.16070269
29/10/2020,3277.169922,38.23077573,109.5718488,196.3489336,488.5,12.80221814
30/10/2020,3293.590088,38.02034916,108.2944448,195.8005225,502.0100098,12.81368501
02/11/2020,3296.199951,38.45689731,106.3930304,196.5606395,478.8699951,12.62197763
03/11/2020,3336.25,39.28287572,106.9293275,196.1757675,484.9299927,12.67258417
04/11/2020,3406.459961,39.58437745,111.2977504,205.9224942,495.3599854,13.35141008
05/11/2020,3485.73999,40.68988115,115.012901,213.6390604,506.5599976,14.12247428
06/11/2020,3508.340088,41.83935165,115.572739,213.8507414,515,14.06987307
09/11/2020,3583.040039,43.81166032,117.702132,215.9482823,485.5400085,14.51137203
10/11/2020,3543.26001,40.59880857,112.8670517,206.3843428,470.9500122,13.56804571
11/11/2020,3563.219971,40.07118243,114.4689915,204.3541422,483,13.01685758
12/11/2020,3562.669922,40.91286349,116.8425385,208.9918083,491,13.44090754
13/11/2020,3552.570068,40.02721203,116.6667266,208.1739947,486.769989,13.58873586
16/11/2020,3600.159912,39.7477097,116.1588046,206.7403379,480,13.13527177
17/11/2020,3610.310059,39.53726998,116.7741856,207.9238053,480.1199951,13.51419928
18/11/2020,3612.090088,38.95311189,115.855994,206.1046875,481.9500122,13.42719539
19/11/2020,3559.409912,38.97509458,114.8596842,203.9148719,482,13.17540855
20/11/2020,3579.310059,39.31742528,115.8852968,204.7058835,485.2200012,13.41597713
23/11/2020,3566.820068,39.82305923,114.4592027,203.5000434,490.4599915,13.13402595
24/11/2020,3594.52002,39.61264468,111.2651337,202.1881074,478.8399963,13.10535959
25/11/2020,3635.5,39.94555373,112.8670562,207.5131229,485.1300049,12.9956678
27/11/2020,3638.550049,39.87646395,113.8633793,207.2623059,486.5799866,13.337202
30/11/2020,3634.179932,39.89215968,114.2540756,206.5387965,490.0799866,13.22751
01/12/2020,3645.870117,39.98952021,118.2002727,206.9343056,492.3399963,13.45411871
02/12/2020,3653.780029,40.73699503,119.1868359,207.2912761,501.6199951,13.31276886
03/12/2020,3668.280029,39.99656114,120.6519842,207.0307869,502.9899902,13.55310023
04/12/2020,3670.939941,39.36289247,119.7533556,206.6545567,497.5,13.41445383
07/12/2020,3694.72998,39.55204504,119.4700734,206.7992834,500.0100098,13.56681976
08/12/2020,3683.050049,40.51041341,121.4822496,206.4133689,517.9000244,13.55060687
09/12/2020,3705.97998,40.63336827,121.6385404,207.5613761,510.5299988,13.266829
10/12/2020,3659.129883,39.64346883,117.7021014,204.2910903,494.5599976,12.83642015
11/12/2020,3656.080078,39.26831838,119.587289,202.631843,495,12.93442355
14/12/2020,3675.27002,39.94927609,119.7533527,205.5741106,505.4400024,13.05486491
15/12/2020,3666.409912,39.34082414,121.452968,207.5710137,518.5,13.40572608
16/12/2020,3696.25,40.32126621,124.4516855,207.1658418,520.1099854,13.38851849
17/12/2020,3713.649902,40.3023589,125.9070689,212.105049,529,13.33291179
18/12/2020,3722.389893,40.41268522,125.9657005,210.8702393,533.2000122,13.34512993
21/12/2020,3684.280029,40.29604318,122.1171658,209.8669435,530.0499878,13.0416494
22/12/2020,3698.080078,40.04699842,128.5541665,214.825441,527.6900024,13.28553215
23/12/2020,3693.419922,41.13778484,129.0913924,215.2306021,524.7600098,13.2224407
24/12/2020,3694.030029,40.34648453,128.2708905,213.6002848,515.1199951,13.0042434
28/12/2020,3723.030029,40.6932795,130.8789139,216.5232759,516.4299927,13.02943292
