Date,SPX,AAPL,MSFT,NFLX,NVDA
12/02/2021,3911.649902,131.4266437,235.3153438,556.9400024,15.01189938
16/02/2021,3939.610107,132.5417955,236.3764454,557.289978,15.0261108
17/02/2021,3918.5,128.3940784,233.333669,550.9899902,15.13259175
18/02/2021,3915.860107,126.3887067,233.7977759,549,14.69171281
19/02/2021,3921.159912,127.4060571,235.683251,548,14.9864634
22/02/2021,3885.550049,125.2245743,229.5627222,534.9899902,14.73734837
23/02/2021,3857.070068,121.0670645,222.7073594,525,14.03961772
24/02/2021,3873.709961,122.2213846,222.3979748,539.7999878,14.08699869
25/02/2021,3915.800049,121.9670406,224.3994628,550.2700195,14.00994298
26/02/2021,3839.659912,119.922522,223.8676385,546.5100098,13.71768487
01/03/2021,3842.51001,121.0572759,228.0930123,545.5700073,13.83987402
02/03/2021,3903.639893,125.6158889,229.1663171,553.3400269,13.86481324
03/03/2021,3863.98999,122.0942224,224.4767936,545.9299927,13.39225873
04/03/2021,3818.530029,119.1007971,219.2361647,521.5,12.76834415
05/03/2021,3793.580078,118.3475486,221.9241982,511.980011,12.51822668
08/03/2021,3844.389893,118.2986465,223.7129656,514.460022,12.41848155
09/03/2021,3851.929932,116.4399811,225.1729885,507.3099976,12.10371732
10/03/2021,3891.98999,119.0421067,229.1566401,513.5,12.8124144
11/03/2021,3915.540039,119.87361,227.1841802,512.2000122,12.92167546
12/03/2021,3924.52002,117.7801574,226.2655467,512.5,12.62058306
15/03/2021,3942.959961,118.7681831,227.1841377,516.3200073,12.83660972
16/03/2021,3973.590088,122.9648456,228.4604873,524.4699707,13.32728514
17/03/2021,3949.570068,121.3507458,228.3347214,522,13.01122716
18/03/2021,3953.5,120.2062128,224.8635601,516.4000244,13.10776757
19/03/2021,3913.139893,117.2910589,223.3745095,504.9599915,12.72211228
22/03/2021,3916.47998,117.7117096,222.6493526,509.1300049,12.88450836
23/03/2021,3937.600098,120.6464225,229.6304503,529.8699951,13.22525896
24/03/2021,3919.929932,120.1475215,229.978491,533.7800293,13.1224855
25/03/2021,3879.340088,116.9388782,227.5128801,516.9899902,12.47215938
26/03/2021,3917.120117,117.7312604,223.8870313,502.8200073,12.52704147
29/03/2021,3969.310059,119.0029637,228.7601935,505.6600037,12.79220826
30/03/2021,3963.340088,117.4964834,225.801488,510.5100098,12.81390975
31/03/2021,3967.25,119.0029756,225.2019804,515.6699829,12.98703209
01/04/2021,3992.780029,120.9692509,230.5780062,529.9299927,13.54256467
05/04/2021,4034.439941,121.1746722,234.7259924,540.0100098,13.83716795
06/04/2021,4075.570068,123.7474358,239.4155002,544.8099976,13.9691266
07/04/2021,4074.290039,123.0920312,239.6088706,543.5,13.85038818
08/04/2021,4089.949951,126.1441298,244.4047401,551.1300049,14.22157703
09/04/2021,4096.109863,126.9756805,244.5014382,552.6900024,14.18291052
12/04/2021,4124.709961,129.6364239,246.2805426,551.0499878,14.25849467
13/04/2021,4130.100098,129.5581784,248.7461801,557,15.19818448
14/04/2021,4141.580078,132.0037882,248.9588745,554.8699951,15.59082594
15/04/2021,4139.759766,130.9081526,249.3939537,544.1699829,15.62824142
16/04/2021,4174.140137,131.3777368,250.8829872,550.539978,16.01788592
19/04/2021,4179.799805,130.6048983,251.5791642,546.9000244,15.5025179
20/04/2021,4159.180176,132.0820664,249.2876329,554.4199829,15.2897333
21/04/2021,4128.419922,129.4799598,250.370528,508,15.08568139
22/04/2021,4170.459961,130.1451477,251.5985058,513.8200073,15.34137105
23/04/2021,4138.779785,129.2842897,249.3456297,509.0100098,14.90158664
26/04/2021,4185.029785,131.8961966,253.0004942,506.7600098,15.1517868
27/04/2021,4188.25,132.0722637,252.9231399,512.6199951,15.54442476
28/04/2021,4185.140137,131.3874971,247.6051687,505.2000122,15.33089615
29/04/2021,4206.140137,133.5005065,247.0057035,507.6000061,15.3663172
30/04/2021,4198.100098,128.9125318,241.4750216,505,15.14131125
03/05/2021,4191.97998,129.1669007,245.0138848,512.6500244,15.09191692
04/05/2021,4179.040039,128.3353972,242.6642907,510.7799988,14.60523419
05/05/2021,4177.060059,126.3886854,240.8174836,504.9899902,14.6768279
06/05/2021,4169.140137,125.1071802,238.2938678,495.9899902,14.46354546
07/05/2021,4210.339844,128.2202078,243.8052426,504.6199951,14.77586
10/05/2021,4228.290039,126.809153,242.5676249,502,14.7549076
11/05/2021,4150.339844,121.0179332,236.4567672,479.75,13.79476233
12/05/2021,4130.549805,120.9199479,234.1555588,486.8299866,13.97885833
13/05/2021,4074.98999,122.076228,233.797786,489.1300049,14.00305252
14/05/2021,4129.580078,123.7126624,237.4526823,487.8599854,13.85961971
17/05/2021,4169.919922,124.2712033,238.390558,485.5899963,14.12603426
18/05/2021,4165.939941,124.0164371,238.1198469,488.3999939,14.23579479
19/05/2021,4098.450195,120.6847717,231.924468,481.6300049,13.53682433
20/05/2021,4121.970215,122.7131745,236.4310118,489.5499878,14.27121732
21/05/2021,4168.609863,125.2511151,239.9295785,503.1199951,15.13058138
24/05/2021,4170.160156,123.4774881,240.142753,501.0499878,15.17922616
25/05/2021,4205.939941,125.2511101,243.9999522,506,15.73151665
26/05/2021,4191.589844,124.408388,243.6704617,502.3399963,15.69983525
27/05/2021,4201.939941,123.8988592,243.4184578,501.7999878,15.66540844
28/05/2021,4210.77002,123.0463343,243.2537265,504.3999939,15.4670965
01/06/2021,4216.52002,122.5661819,243.4766488,504.0100098,16.23441447
02/06/2021,4206.819824,121.7822776,240.4722943,499.8200073,16.2167056
03/06/2021,4191.430176,122.1742092,237.6521005,495.1900024,16.66422359
04/06/2021,4206.049805,121.5764795,240.1136983,492,17.07506777
07/06/2021,4229.339844,123.6342755,242.2651582,492.9200134,17.53281738
08/06/2021,4233.810059,124.0556091,247.2853332,497,17.48891342
09/06/2021,4232.990234,124.653368,245.9770056,494.5,17.48144583
10/06/2021,4228.560059,124.4671771,246.4421922,487.1700134,17.31602098
11/06/2021,4242.899902,123.9870458,250.0279662,490,17.44526489
14/06/2021,4248.310059,125.2511145,249.9407339,489.6799927,17.8709274
15/06/2021,4255.279785,127.328489,251.7530394,501.230011,17.87991161
16/06/2021,4248.870117,127.7498662,251.394462,495,17.75590138
17/06/2021,4220.370117,127.1912706,248.1672501,490.25,17.73968963
18/06/2021,4204.779785,128.083057,251.6173624,496.3999939,18.74721309
21/06/2021,4173.399902,127.681248,251.8015193,501.6400146,18.39914281
22/06/2021,4224.609863,129.4744673,254.6119836,498.5400085,18.43532257
23/06/2021,4249.27002,131.0815551,257.7810326,508.480011,18.97051589
24/06/2021,4256.970215,131.7478669,257.9458306,517.960022,19.19009047
25/06/2021,4274.450195,130.7777863,258.0137126,528.8400269,19.24274028
28/06/2021,4284.899902,130.7287667,257.9749306,528.1199951,19.32332899
29/06/2021,4293.209961,132.0908083,260.5722508,533.5499878,19.8435595
30/06/2021,4290.649902,133.4333271,262.3360095,534.0599976,19.96008174
01/07/2021,4300.72998,133.8546368,261.2893816,525.7199707,20.08558148
02/07/2021,4326.600098,135.1285291,264.4003429,535.5,20.40021897
06/07/2021,4356.459961,137.2549193,269.4494883,533,20.69688025
07/07/2021,4351.009766,140.6551766,270.7772209,544.2399902,20.81265699
08/07/2021,4321.069824,138.7345798,268.3543971,530.9299927,19.81761072
09/07/2021,4329.379883,139.8810488,267.2108467,531,19.92340298
12/07/2021,4372.410156,143.2714949,270.5446858,540.2999878,20.20035899
13/07/2021,4381.069824,141.1353538,268.9552321,535.7600098,20.36054125
